ImageID,Source,LabelName,Confidence
000020780ccee28d,verification,/m/02522,0.0
000060e3121c7305,verification,/m/01m2v,1.0
000060e3121c7305,verification,/m/02522,1.0
00008044f1bbfde7,verification,/m/01m2v,0.0
000085351f54575c,verification,/m/01m2v,0.0
000085351f54575c,verification,/m/020lf,0.0
000085351f54575c,verification,/m/02522,1.0
000091f4a275d0fb,verification,/m/02522,0.0
0000b9115cdf1e54,verification,/m/01m2v,0.0
0000b9115cdf1e54,verification,/m/02522,0.0
0000bcb094764718,verification,/m/02522,0.0
0000bdfa52154160,verification,/m/020lf,0.0
0000c33c6f4b8518,verification,/m/020lf,0.0
0000de486dc6c49f,verification,/m/020lf,0.0
0000f509689e349c,verification,/m/020lf,0.0
00016982f6086d39,verification,/m/020lf,0.0
000172051b2180cd,verification,/m/020lf,0.0
00017656855f96c7,verification,/m/02522,0.0
0001b181d51bfa19,verification,/m/02522,0.0
0001c222f055d7fc,verification,/m/01m2v,0.0
0001f064542fd1df,verification,/m/01m2v,0.0
0001f064542fd1df,verification,/m/020lf,0.0
0001f07fff1769c3,verification,/m/020lf,0.0
00022a6311159428,verification,/m/01m2v,0.0
00022a6311159428,verification,/m/02522,0.0
000243216b5a8e54,verification,/m/02522,0.0
000265efe8492bd9,verification,/m/01m2v,0.0
000265efe8492bd9,verification,/m/020lf,0.0
0002a1a755d730ca,crowdsource-verification,/m/01m2v,1.0
0002a1a755d730ca,verification,/m/020lf,0.0
0002a1a755d730ca,verification,/m/02522,0.0
0002ab17a812c0d6,verification,/m/01m2v,0.0
0002c799b0cd7412,verification,/m/01m2v,0.0
0002c799b0cd7412,verification,/m/02522,0.0
0002e69e7a381d79,verification,/m/01m2v,0.0
00030b8c7652041d,verification,/m/02522,0.0
000384bb6da4764b,verification,/m/01m2v,0.0
000384bb6da4764b,verification,/m/020lf,0.0
000396ae942e8778,crowdsource-verification,/m/01m2v,1.0
000396ae942e8778,verification,/m/020lf,0.0
000396ae942e8778,verification,/m/02522,0.0
0003bf496dc8a8ba,verification,/m/01m2v,0.0
0003fd45db1c5906,verification,/m/020lf,0.0
0003fd45db1c5906,verification,/m/02522,0.0
000415872c9478c6,verification,/m/02522,0.0
000421a4ed497ea4,verification,/m/01m2v,1.0
000477fbd201b1ff,verification,/m/02522,0.0
00048edce2a37368,crowdsource-verification,/m/01m2v,1.0
00048edce2a37368,verification,/m/02522,1.0
0005451344f10814,verification,/m/020lf,0.0
00056dc4f587f43e,verification,/m/02522,0.0
0005a8e334d18d12,verification,/m/02522,0.0
0005cd38d94e5262,verification,/m/01m2v,1.0
0005cd38d94e5262,verification,/m/020lf,0.0
0005cd38d94e5262,verification,/m/02522,1.0
0005d2c43b82a3dc,verification,/m/01m2v,0.0
0005d2c43b82a3dc,verification,/m/020lf,0.0
0005d2c43b82a3dc,verification,/m/02522,0.0
00061e022fb75c37,verification,/m/02522,0.0
00067defa682098f,verification,/m/02522,0.0
0006f07c9defcc40,verification,/m/01m2v,0.0
0006ffb07fd3f04a,verification,/m/02522,0.0
00070d8a5eeb4235,crowdsource-verification,/m/01m2v,1.0
00070d8a5eeb4235,verification,/m/02522,1.0
000776501b89bf47,crowdsource-verification,/m/01m2v,1.0
000776501b89bf47,verification,/m/020lf,0.0
000776501b89bf47,verification,/m/02522,1.0
0007ca8a05b13552,verification,/m/01m2v,0.0
0007e1c0aca14326,verification,/m/020lf,0.0
0007e94c79e5c96a,verification,/m/01m2v,0.0
0007ff438786b5ff,crowdsource-verification,/m/01m2v,1.0
0007ff438786b5ff,verification,/m/020lf,1.0
0007ff438786b5ff,crowdsource-verification,/m/02522,1.0
00080e6b8287522d,verification,/m/020lf,0.0
000819fd2a0433a9,verification,/m/02522,0.0
0008994c6ecc4226,verification,/m/02522,0.0
0008ab3d8674f6ca,verification,/m/020lf,0.0
0008c0909fb45c79,crowdsource-verification,/m/01m2v,1.0
0008c0909fb45c79,verification,/m/020lf,0.0
0008c0909fb45c79,verification,/m/02522,0.0
000957f9cbd14b35,crowdsource-verification,/m/01m2v,1.0
000957f9cbd14b35,verification,/m/020lf,0.0
000957f9cbd14b35,verification,/m/02522,0.0
0009c51c7727cce0,verification,/m/01m2v,1.0
0009c51c7727cce0,verification,/m/020lf,0.0
0009debd0e9d1fca,verification,/m/01m2v,1.0
000a782e900a8f7b,verification,/m/02522,1.0
000aabd8888cfde7,verification,/m/01m2v,0.0
000aabd8888cfde7,verification,/m/020lf,0.0
000aabd8888cfde7,verification,/m/02522,0.0
000ad20b5e452b24,verification,/m/01m2v,0.0
000b21663becc68e,verification,/m/01m2v,0.0
000b21663becc68e,verification,/m/020lf,0.0
000b21663becc68e,verification,/m/02522,0.0
000b4671075914cd,verification,/m/01m2v,0.0
000bc33717a6371f,verification,/m/01m2v,0.0
000bc33717a6371f,verification,/m/02522,0.0
000c0535f058da77,verification,/m/01m2v,0.0
000c0535f058da77,verification,/m/02522,0.0
000c24660cd3fd95,verification,/m/020lf,0.0
000c9121b17ee0ff,verification,/m/01m2v,0.0
000c9121b17ee0ff,verification,/m/020lf,0.0
000c9121b17ee0ff,verification,/m/02522,1.0
